Name,Gender,Race,Status,s_01,e_01,p_01,s_02,e_02,p_02,s_03,e_03,p_03,s_04,e_04,p_04,s_05,e_05,p_05,s_06,e_06,p_06
Nury Martinez,Female,Latino,Active,2010,2012,LAUSD D 6,2013,2016,LA District 06,,,,,,,,,,,,
Connie M. Leyva,Female,Latino,Active,2014,2016,Senate District 20,,,,,,,,,,,,,,,
Ed Hernandez,Male,Latino,Active,2006,2009,Assembly District 57,2010,2013,Senate District 24,2014,2016,Senate District 22,,,,,,,,,
J. William Orozco,Male,Latino,,1969,1978,LACCD 5,,,,,,,,,,,,,,,
Gloria Romero,Female,Latino,Inactive,1995,1998,LACCD 1,1998,2000,Assembly District 49,2000,2009,Senate District 24,,,,,,,,,
Philip Soto,Male,Latino,,1962,1965,Assembly District 50,,,,,,,,,,,,,,,
Martha Escutia,Female,Latino,Inactive,1992,1997,Assembly District 50,1998,2005,Senate District 30,,,,,,,,,,,,
Ed Reyes,Male,Latino,,2001,2012,LA District 01,,,,,,,,,,,,,,,
Bob Pacheco,Male,Latino,,1998,2003,Assembly District 60,,,,,,,,,,,,,,,
Art Torres,Male,Latino,Inactive,1974,1981,Assembly District 56,1982,1993,Senate District 24,,,,,,,,,,,,
Linda Sanchez,Female,Latino,ELECTION,2002,2011,US District 39,2012,2016,US District 38,,,,,,,,,,,,
Marco Firebaugh,Male,Latino,,1998,2003,Assembly District 50,,,,,,,,,,,,,,,
Richard Alatorre,Male,Latino,Inactive,1972,1973,Assembly District 48,1974,1985,Assembly District 55,1985,1998,LA District 14,,,,,,,,,
Felipe Fuentes,Male,Latino,Active,2007,2011,Assembly District 39,2013,2016,LA District 07,,,,,,,,,,,,
Thomas Calderon,Male,Latino,,1998,2001,Assembly District 58,,,,,,,,,,,,,,,
Nick Pacheco ,Male,Latino,,1999,2002,LA District 14,,,,,,,,,,,,,,,
Sylvia Scott-Hayes,Female,Latino,,1999,2009,LACCD 1,,,,,,,,,,,,,,,
Ernest Moreno,Male,Latino,Active,2013,2016,LACCD 4,,,,,,,,,,,,,,,
David Lopez-Lee,Male,Latino,,1987,1998,LACCD 7,,,,,,,,,,,,,,,
Robert Garcia,Male,Latino,Active,2014,2016,Long Beach Mayor,,,,,,,,,,,,,,,
Jose Huizar,Male,Latino,Active,2001,2004,LAUSD D 2,2005,2016,LA District 14,,,,,,,,,,,,
Miguel Santiago,Male,Latino,Active,2008,2014,LACCD 7,2014,2016,Assembly District 53,,,,,,,,,,,,
Monica Garcia,Female,Latino,,2005,2016,LAUSD D 2,,,,,,,,,,,,,,,
Diane Martinez,Female,Latino,,1992,1997,Assembly District 49,,,,,,,,,,,,,,,
Grace Napolitano,Female,Latino,ELECTION,1992,1997,Assembly District 58,1998,2001,US District 34,2002,2011,US District 38,2012,2016,US District 32,,,,,,
Alex P. Garcia,Male,Latino,Inactive,1968,1973,Assembly District 40,1974,1981,Senate District 24,,,,,,,,,,,,
Xavier Becerra,Male,Latino,Active,1990,1991,Assembly District 59,1992,2001,US District 30,2002,2011,US District 31,2012,2016,US District 34,,,,,,
Dario Frommer,Male,Latino,,2000,2005,Assembly District 43,,,,,,,,,,,,,,,
Victoria Castro,Female,Latino,,1993,2000,LAUSD D 2,,,,,,,,,,,,,,,
Joseph Montoya,Male,Latino,Deceased,1972,1973,Assembly District 50,1974,1977,Assembly District 60,1978,1989,Senate District 26,,,,,,,,,
Fabian Nunez,Male,Latino,,2002,2007,Assembly District 46,,,,,,,,,,,,,,,
Kevin de Leon,Male,Latino,Active,2006,2009,Assembly District 45,2010,2013,Senate District 22,2014,2016,Senate District 24,,,,,,,,,
Lucille Roybal-Allard,Female,Latino,Active,1986,1991,Assembly District 56,1992,2001,US District 33,2002,2011,US District 34,2012,2016,US District 40,,,,,,
Hector de la Torre,Male,Latino,,2004,2009,Assembly District 50,,,,,,,,,,,,,,,
Monica Ratliff,Female,Latino,Active,2013,2016,LAUSD D 6,,,,,,,,,,,,,,,
Lee Baca,Male,Latino,,1998,2013,Sheriff,,,,,,,,,,,,,,,
Hilda Solis,Female,Latino,Active,1992,1993,Assembly District 57,1994,1999,Senate District 24,2000,2001,US District 31,2002,2008,US District 32,2014,2016,County District 1,,,
Freddie Rodriguez,Male,Latino,Active,2013,2016,Assembly District 52,,,,,,,,,,,,,,,
Ricardo Lara,Male,Latino,Active,2010,2011,Assembly District 50,2012,2016,Senate District 33,,,,,,,,,,,,
Larry Gonzalez,Male,Latino,,1983,1986,LAUSD D 5,,,,,,,,,,,,,,,
Tony Cardenas,Male,Latino,ELECTION,1996,2001,Assembly District 39,2003,2011,LA District 06,2012,2016,US District 29,,,,,,,,,
Alex Padilla,Male,Latino,Inactive,2001,2005,LA District 07,2006,2013,Senate District 20,,,,,,,,,,,,
Louis Caldera,Male,Latino,,1992,1996,Assembly District 46,,,,,,,,,,,,,,,
Ref Rodriguez,Male,Latino,Active,2015,2016,LAUSD D 5,,,,,,,,,,,,,,,
Joseph Busch,Male,White,Deceased,1971,1974,County District Attorney,,,,,,,,,,,,,,,
Bob Epple,Male,White,Deceased,1988,1991,Assembly District 63,1992,1993,Assembly District 56,,,,,,,,,,,,
Gordon Hahn,Male,White,Deceased,1959,1962,LA District 08,,,,,,,,,,,,,,,
Julia Brownley,Female,White,ELECTION,2006,2011,Assembly District 41,2012,2016,US District 26,,,,,,,,,,,,
Greig Smith,Male,White,Inactive,2003,2010,LA District 12,,,,,,,,,,,,,,,
Glenn M. Anderson,Male,White,Deceased,1966,1969,US District 17,1972,1973,US District 35,1974,1991,US District 32,,,,,,,,,
Chet Wolfrum,Male,White,Deceased,1960,1961,Assembly District 56,,,,,,,,,,,,,,,
Gerald Felando,Male,White,Inactive,1978,1981,Assembly District 52,1982,1991,Assembly District 51,,,,,,,,,,,,
Sam Yorty,Male,White,Deceased,1961,1972,Mayor,,,,,,,,,,,,,,,
Larry Chimbole,Male,White,Deceased,1974,1975,Assembly District 34,,,,,,,,,,,,,,,
Dan Lungren,Male,White,Inactive,1978,1981,US District 34,1982,1987,US District 42,,,,,,,,,,,,
Jacqui Irwin,Female,White,Active,2014,2016,Assembly District 44,,,,,,,,,,,,,,,
Fran Pavley,Female,White,t/o,2000,2005,Assembly District 41,2008,2011,Senate District 23,2012,2016,Senate District 27,,,,,,,,,
Wendy Greuel,Female,White,Inactive,2000,2008,LA District 02,2009,2012,City Controller,,,,,,,,,,,,
Joe Buscaino,Male,White,Active,2012,2016,LA District 15,,,,,,,,,,,,,,,
William J. McVittie,Male,White,Inactive,1974,1979,Assembly District 65,,,,,,,,,,,,,,,
Audra Strickland,Female,White,Inactive,2004,2009,Assembly District 37,,,,,,,,,,,,,,,
Jeffrey Horton,Male,White,Inactive,1991,1998,LAUSD D 3,,,,,,,,,,,,,,,
Ernie Kell,Male,White,Inactive,1988,1993,Long Beach Mayor,,,,,,,,,,,,,,,
David Pierson,Male,White,Deceased,1970,1971,Assembly District 65,,,,,,,,,,,,,,,
Don Allen,Male,White,Deceased,1959,1965,Assembly District 63,,,,,,,,,,,,,,,
Steve Horn,Male,White,Deceased,1992,2001,US District 38,,,,,,,,,,,,,,,
Walter J. Karabian,Male,White,Inactive,1966,1973,Assembly District 45,,,,,,,,,,,,,,,
Jim Brulte,Male,White,Inactive,1996,2003,Senate District 31,,,,,,,,,,,,,,,
Richard B. Richards ,Male,White,Deceased,1959,1961,Senate District 38,,,,,,,,,,,,,,,
John L. E. ""Bud"" Collier,Male,White,Deceased,1960,1973,Assembly District 54,1974,1977,Assembly District 61,,,,,,,,,,,,
Ollie Speraw,Male,White,Deceased,1979,1983,Senate District 31,,,,,,,,,,,,,,,
Frank Vicencia,Male,White,Deceased,1974,1985,Assembly District 54,,,,,,,,,,,,,,,
J.C. Chambers,Male,White,Deceased,1959,1974,LAUSD AL 1,,,,,,,,,,,,,,,
George Wilson ,Male,White,Inactive,1959,1967,Assembly District 52,,,,,,,,,,,,,,,
Karl Rundberg,Male,White,Deceased,1959,1964,LA District 11,,,,,,,,,,,,,,,
David Hadley,Male,White,ELECTION,2014,2016,Assembly District 66,,,,,,,,,,,,,,,
Sharon Runner,Female,White,Active,2002,2007,Assembly District 36,2011,2011,Senate District 17,2014,2016,Senate District 21,,,,,,,,,
Jesse Unruh,Male,White,Deceased,1959,1969,Assembly District 65,,,,,,,,,,,,,,,
Ed Reinecke,Male,White,Inactive,1964,1967,US District 27,,,,,,,,,,,,,,,
Larry Townsend,Male,White,Deceased,1966,1972,Assembly District 67,,,,,,,,,,,,,,,
Ralph Richardson,Male,White,Deceased,1959,1968,LAUSD AL 6,1973,1980,LACCD 4,,,,,,,,,,,,
Steve Cooley,Male,White,Inactive,2000,2012,County District Attorney,,,,,,,,,,,,,,,
